carId,modelName,received,released,type/carTypeId,type/name,manufacturer/manufacturerId,manufacturer/name
1,X6,2018-02-01T00:00:00,2016-02-01T00:00:00,1,SUV,1,BMW
2,X3,2020-01-01T00:00:00,2019-02-01T00:00:00,1,SUV,1,BMW
3,6 Gran Coupe,2015-01-01T00:00:00,2014-02-01T00:00:00,2,Coupe,1,BMW
4,Golf,2017-01-01T00:00:00,2015-02-01T00:00:00,3,Hatchback,2,Volkswagen
5,Passat,2014-01-01T00:00:00,2010-02-01T00:00:00,4,Combi,2,Volkswagen
6,Cayenne,2020-01-01T00:00:00,2017-02-01T00:00:00,1,SUV,3,Porsche
7,Polo,2018-05-01T00:00:00,2017-02-01T00:00:00,3,Hatchback,2,Volkswagen
8,Insignia,2019-01-01T00:00:00,2018-08-01T00:00:00,6,Limousine,4,Opel
9,Crossland,2017-01-01T00:00:00,2015-02-01T00:00:00,1,SUV,4,Opel
10,Corsa,2017-01-01T00:00:00,2014-02-01T00:00:00,3,Hatchback,4,Opel
11,MX-5,2015-01-01T00:00:00,2010-02-01T00:00:00,5,Roadster,5,Mazda
12,CX-30,2020-01-01T00:00:00,2019-02-01T00:00:00,1,SUV,5,Mazda
13,Z-4,2020-01-01T00:00:00,2018-02-01T00:00:00,5,Roadster,1,BMW
14,Superb,2070-01-01T00:00:00,2016-02-01T00:00:00,6,Limousine,6,Skoda
15,Karoq,2021-01-01T00:00:00,2018-02-01T00:00:00,1,SUV,6,Skoda
